translation,label,channel,sample_rate,duration
ጣት ሽን አን ቋ ቂው ም አታንቋቂ ውም ማ ንም አላ የ ሽም,tr_10435_tr23137,1,8000,3.968
በዚህ ምክንያት የ ኤርትራውያኑ ም ስሜት ተለው ጧል,tr_7457_tr75058,1,8000,4.224
እነዚሁ ኢትዮጵያዊያ ን በ ኤርትራ ውስጥ የሚኖሩ መሆናቸው ንም መጽሄቱ አስ ታውቋል,tr_5517_tr56018,1,8000,5.12
አሁን ግን እ ዚሁ እ ከተማችን ጠንቋይ ተገኘ,tr_471_tr05071,1,8000,4.096
አ ነኚህ የ ታዳጊ ና የ ወጣት ቡድን ተጨዋቾች ክለቦቻቸው የሚያዘ ጋጇቸው ለ ዋናው ቡድን ተተኪ ተጨዋቾች ን ለማ ፈራ ት ነው,tr_8115_tr81116,1,8000,7.808
አገር ና ድንበር ብለው ም የሚዋደቁ ናቸው,tr_7892_tr79093,1,8000,3.328
አሁን ም የ ኢትዮጵያ ህዝብ ዳር እስከ ዳር ያለ ገደብ ገንዘብ እንዲ ያዋጣ እየ ተጠየቀ ነው,tr_9514_tr093076,1,8000,5.12
ጉዞው ን እንደ ያዘ ይቀጥላል ማለት ነው,tr_940_tr10041,1,8000,4.352
በ ጉራጌ ዞን በ ማጅራት ገትር ስድስት ሰዎች ሞቱ,tr_7140_tr72041,1,8000,4.096
የ ሴቶች ማህበራት ና ድርጅቶች ሴቶች በ ዴሞክራሲያዊ መብታቸው ተጠቃሚ እንዲሆኑ ለማስቻል ሴት ተሿሚዎች ን በ መጠቆም ተሳትፎ ማድረግ እንደሚ ችሉ ም አስ ታውቋል,tr_5000_tr51001,1,8000,11.648
አሜሪካ ዲፕሎማቶ ቿ ወደ ኢትዮጵያ እንዲመለሱ ወሰነች,tr_8839_tr87120,1,8000,4.992
ኢትዮጵያ ይህን ተግባር የ ፈጸመችው ደግሞ ሆን ብላ ኤርትራ ን ኢኮኖሚያዊ ና ማህበራዊ ሂደት ለ ማደናቀፍ ነው በ ማለት ገልጸዋል,tr_9975_tr097057,1,8000,9.6
ኢህአፓ የ ተቃዋሚ ሀይሎች ሀብረት እንደሚ ደግፍ ገለጸ,tr_6941_tr70042,1,8000,3.968
የሚ ነገረን ን ብቻ ተግባራዊ እናደርጋ ለ ን,tr_2034_tr21035,1,8000,3.584
ተድላ በልጅነ ቱ ቆረ በ,tr_9775_tr095097,1,8000,3.072
በ እርግጥ ግን ተዋርደ ናል ኩር ር ኩር ር ብዙዎቻችን የ ኢትዮጵያዊ ነት ቅድስና ና ክብር እየ ሸሸ ን ሰዎች ም ይህንን የ ተፈጥሮ ጸጋ ችንን እየገፈ ፉት መሄዳቸው ን አንስተ ናል,tr_3893_tr39094,1,8000,14.336
ለዚህ ም ለ መንግስት እርዳታ ከ መስጠት ይልቅ መዋለ ንዋይ ወደ ኢንቨስትመንት መዞር አለ በት ባዮች ናቸው,tr_8072_tr81073,1,8000,6.016
ነገር ግን ቀሪዎቹ የ መንግስታዊ ድርጅቶች ክለቦች ናቸው,tr_9250_tr091051,1,8000,4.48
አቶ መለስ የ ሻእቢያ ዲፕሎማቶች ን ሰላዮች አ ሏቸው,tr_10307_tr100029,1,8000,4.608
አሊ በ ረሀብ ኩ ርምት ብሏል,tr_10476_tr06131,1,8000,3.2
ኢትዮጵያ ና ሌሎች አስራ ስ ባት የ አፍሪካ አገሮች ም የ ሀሳቡ ን ተፈጻሚ ነት ይከታተ ላሉ,tr_402_tr05002,1,8000,7.68
ወደ ኢትዮጵያ ንግድ ባንክ ከ ተመለሱ በኋላ ፕሬዚዳንት ሆነው እስከ ተሾሙ ድረስ በ ረዳት ምክትል ፕሬዚዳንት ነት ሲ ሰሩ ቆይ ተዋል,tr_5812_tr59013,1,8000,8.064
ገና ካሁኑ በ ኮረንቲያንስ ክለብ አንድ ለ ዜሮ ተሸን ፏል,tr_1340_tr14041,1,8000,4.48
የ ሱዳኑ ፕሬዝዳንት በ ኢትዮጵያ ላይ ጉዳት የሚያ ስከትሉ ሽርክና ን ከ ማናቸውም ወገን አንቀበል ም አሉ,tr_7080_tr71081,1,8000,6.656
ወይዘሮ ታደለ ች በ ኮትዲቯር የ ኢትዮጵያ አምባሳደር በ መሆን ተሾሙ,tr_7597_tr76098,1,8000,4.992
አስራ ስድስት የ አፍሪካ ሀገሮች የሚከተሉ ት ናቸው,tr_4244_tr43045,1,8000,3.712
መለስ ማሌዥያ ና ጃፓን ሄደው ተፈራረሙ,tr_2826_tr29027,1,8000,4.096
የ ሲዲኒ ው ድል በ ኤድመንተን ተደገመ,tr_6374_tr64075,1,8000,3.584
